area,name,num,style,year
"美国,德国",朗读者,159,"剧情,爱情",2008
英国,追随,160,"犯罪,悬疑,惊悚",1998
"伊朗,法国",一次别离,161,"剧情,家庭",2011
日本,罗生门,162,"犯罪,剧情,悬疑",1950
"阿根廷,西班牙",荒蛮故事,163,"剧情,喜剧,犯罪",2014
"法国,美国,意大利",碧海蓝天,164,"剧情,爱情",1988
美国,罗马假日,31,"喜剧,剧情,爱情",1953
"美国,英国,加拿大",星际穿越,32,"剧情,科幻,悬疑,冒险,家庭",2014
中国大陆,鬼子来了,33,"剧情,战争",2000
"美国,英国",蝙蝠侠：黑暗骑士,34,"剧情,动作,科幻,犯罪,惊悚",2008
"香港,中国大陆",大话西游之月光宝盒,35,"喜剧,动作,爱情,奇幻,冒险,古装",1995
英国,两杆大烟枪,36,"剧情,喜剧,犯罪",1998
"中国大陆,香港",活着,37,"剧情,家庭",1994
美国,飞屋环游记,38,"剧情,喜剧,动画,奇幻,冒险",2009
德国,窃听风暴,39,"剧情,悬疑",2006
"香港,日本,韩国",春光乍泄,77,"剧情,爱情,同性",1997
美国,疯狂动物城,78,"喜剧,动作,动画,冒险",2016
美国,第六感,79,"剧情,悬疑,恐怖",1999
"中国大陆,香港",阳光灿烂的日子,80,剧情,1994
"中国大陆,香港",让子弹飞,81,"剧情,喜剧,动作,西部",2010
中国大陆,大闹天宫,82,"动画,奇幻",1961 / 1964 / 1978 / 2004
美国,大鱼,83,"剧情,家庭,奇幻,冒险",2003
香港,重庆森林,84,"剧情,爱情",1994
香港,射雕英雄传之东成西就,85,"喜剧,古装",1993
"巴西,法国",上帝之城,86,"犯罪,剧情",2002
韩国,阳光姐妹淘,87,"剧情,喜剧",2011
香港,甜蜜蜜,88,"剧情,爱情",1996
美国,禁闭岛,89,"剧情,悬疑,惊悚",2010
美国,致命ID,90,"剧情,悬疑,惊悚",2003
"台湾,日本",一一,91,"剧情,爱情,家庭",2000
日本,告白,92,"剧情,惊悚",2010
"丹麦,瑞典",狩猎,93,剧情,2012
美国,加勒比海盗,94,"动作,冒险,奇幻",2003
"美国,德国,英国",布达佩斯大饭店,95,"剧情,喜剧",2014
"美国,奥地利,瑞士",爱在黎明破晓前,96,"剧情,爱情",1995
香港,青蛇,202,"剧情,奇幻,古装",1993
中国大陆,哪吒闹海,203,"冒险,动画,奇幻",1979
美国,E.T. 外星人,204,"剧情,科幻,奇幻,冒险",1982
美国,叫我第一名,205,"剧情,传记",2008
"美国,加拿大",源代码,206,"剧情,动作,科幻,犯罪,惊悚",2011
"英国,美国",发条橙,207,"犯罪,剧情,科幻",1971
"美国,德国",谍影重重2,177,"动作,悬疑,惊悚",2004
"美国,德国,捷克",谍影重重,178,"动作,悬疑,惊悚",2002
香港,阿飞正传,179,"犯罪,剧情,爱情",1990
